,thetas,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: HPO or use of default values?,A_UR: Computer operating system,A_Hardware: access to high performance computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature datatypes,A_Number of features,A_Noise in dataset,A_Training technique,A_ML task,A_Detailed ML task,D_DT,D_RF,D_KNN,D_EN,D_LogReg,D_SVM,D_NB,D_XGB,D_MLP,D_DNN,D_CNN,D_LSTM,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: HPO or use of default values?,del_UR: Computer operating system,del_Hardware: access to high performance computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature datatypes,del_Number of features,del_Noise in dataset,del_Training technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,1,high,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,,,,,,,0.5000,,,,,0.5555555555555556,,,,,,,,,1.4444444444444444,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,1,,,,,,,,,,Process Parameter Prediction,,,,1.0:43200,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,,,,,1.411764705882353,,,,0.5882352941176471,,,,,,,,,,User's programming ability_AI:_1
3,1,,,,,,,,,,Process Parameter Prediction,,,,>43200,,,,,,,,,,,,,,,,,,,,,1.0000,,,,,,,,,,1.1666666666666667,,,,0.8333333333333333,,,,,,,,,,UR: need for model transparency_AI:_1
4,1,,,,high,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,0.3333,,,,,,0.3333,,,,,,,,1.6666666666666667,,,,,,0.33333333333333337,,,,,,,,,,,,,,UR: robustness of the model_AI:_1
5,1,,low,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,,0.5000,,,,,,0.5000,,,,,,1.1111111111111112,,,,,,,,0.888888888888889,,,,,,,,,,,,,,UR: scalability of the model_AI:_1
6,1,,,,,,,,,,,,,,,,>100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,1.5294117647058822,,,,,,0.47058823529411764,,UR: Availability of a well documented library_AI:_1
7,1,,,,,,,,,,,,,,,,<100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,0.5000,,,0.5000,,,,,,,,,,,,,,,,,,,,,,1.625,,,,,,0.37500000000000006,,UR: HPO or use of default values?_AI:_1
8,1,,,,,,,,,,,,,,,,>100000,,,,,,Regression,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,1.4666666666666666,,,,,,0.5333333333333333,,UR: Computer operating system_AI:_1
9,1,,,,,,,,,,,,,,,,<100000,,,,,,Regression,,,,,0.5000,,0.5000,,,,,,,,,,,,,,,,,,,,,,1.5714285714285714,,,,,,0.4285714285714286,,Hardware: access to high performance computing_AI:_1
10,1,,,,,,,,,,,,,1,1.0:43200,,,,,,,,Regression,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,1.3515358361774743,0.78839590443686,,,,,,,,0.8600682593856654,,Production application area_AI:_1
11,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,Regression,,,1.0000,,,,,,,,,,,0.7809000633847455,,,,,,,,,,,,1.4502429748573844,0.8459750686668076,,,,,,,,0.9228818930910628,,Number of maximum function evaluations/ trials budget_AI:_1
12,1,high,,,,,,,,,,,,>1,>43200,,,,,,,,Regression,,,,,,,,,,1.0000,,,,0.7294736842105264,,,,,,,,,,,,1.0536842105263158,1.3547368421052632,,,,,,,,0.8621052631578948,,Running time per trial [s]_AI:_1
13,1,high,,,,,,,,yes,,,,1,1.0:43200,,,,,,,,Regression,,,,,,,,,1.0000,,,,,0.8263280271865499,,,,,,,,0.7673045966732247,,,,1.5346091933464494,0.8951886961187622,,,,,,,,0.9765694866750134,,Number of kernels used_AI:_1
14,1,,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,0.5000,,,,0.5000,,,,,,,,,,,,,,,,1.4138972809667674,0.824773413897281,,,,,,,,0.7613293051359518,,Total Computing Time [s]_AI:_1
15,1,high,,,,,,,,,,,,>1,>43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,,,,,1.0000,,,,0.7544910179640719,,,,,,,,,,,,1.089820359281437,1.401197604790419,,,,,,,,0.7544910179640719,,Input Data_AI:_1
16,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,1.0000,,,,,,,,,,,0.8096385542168676,,,,,,,,,,,,1.5036144578313253,0.8771084337349397,,,,,,,,0.8096385542168676,,#Instances training dataset_AI:_1
17,1,,,,,yes,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,,,,1.0000,,,,,,,,,3.069571328179902,,,,,,,,0.438510189739986,0.2557976106816585,,,,,,,,0.23612087139845403,,Ratio training to test dataset_AI:_1
18,1,,,,,,,,,,,,,,,,,,,<100,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,0.7000000000000001,,Feature datatypes_AI:_1
19,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,,,,,,,,1.0000,,,,,0.8096385542168676,,,,,,,,,,,,1.5036144578313253,0.8771084337349397,,,,,,,,0.8096385542168676,,Number of features_AI:_1
20,1,high,,,,,,,,,,,,,,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",Image Recognition,,,,,,,,,,,,,0.20000000000000004,,,,,,,,,,,,,,,,,,,,,0.20000000000000004,2.6,Noise in dataset_AI:_1
21,1,,,,,,,,,,,,,,1.0:43200,,,,,,,,Regression,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.9565217391304347,,,,,,,,1.0434782608695652,,Training technique_AI:_1
22,1,,,,,,,,,,,,,,>43200,,,,,,,,Regression,,,0.17,,,,,,0.17,0.17,0.17,0.17,0.17,,,,,,,,,,,,,,1.222222222222222,,,,,,,,0.7777777777777778,,ML task_AI:_1
