,thetas,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: HPO or use of default values?,A_UR: Computer operating system,A_Hardware: access to high performance computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature datatypes,A_Number of features,A_Noise in dataset,A_Training technique,A_ML task,A_Detailed ML task,D_DT,D_RF,D_KNN,D_EN,D_LogReg,D_SVM,D_NB,D_XGB,D_MLP,D_DNN,D_CNN,D_LSTM,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: HPO or use of default values?,del_UR: Computer operating system,del_Hardware: access to high performance computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature datatypes,del_Number of features,del_Noise in dataset,del_Training technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,1,high,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.3442622950819666,,,,,,,,,0.8950819672131131,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,1,,,,,,,,,,Process Parameter Prediction,,,,1.0:43200,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0.8950819672131131,,,,0.37295081967213045,,,,,,,,,,User's programming ability_AI:_1
3,1,,,,,,,,,,Process Parameter Prediction,,,,>43200,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,,,,,,,,,,0.8950819672131131,,,,0.6393442622950808,,,,,,,,,,UR: need for model transparency_AI:_1
4,1,,,,high,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,,,,4.475409836065565,,,,,,0.8950819672131131,,,,,,,,,,,,,,UR: robustness of the model_AI:_1
5,1,,low,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,,1.1188524590163913,,,,,,,,0.8950819672131131,,,,,,,,,,,,,,UR: scalability of the model_AI:_1
6,1,,,,,,,,,,,,,,,,>100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.1188524590163913,,,,,,0.3442622950819666,,UR: Availability of a well documented library_AI:_1
7,1,,,,,,,,,,,,,,,,<100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.4918032786885218,,,,,,0.3442622950819666,,UR: HPO or use of default values?_AI:_1
8,1,,,,,,,,,,,,,,,,>100000,,,,,,Regression,,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.1188524590163913,,,,,,0.4068554396423242,,UR: Computer operating system_AI:_1
9,1,,,,,,,,,,,,,,,,<100000,,,,,,Regression,,0.0000,0.0000,0.0000,0.5000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.4918032786885218,,,,,,0.4068554396423242,,Hardware: access to high performance computing_AI:_1
10,1,,,,,,,,,,,,,1,1.0:43200,,,,,,,,Regression,,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,0.6393442622950808,0.37295081967213045,,,,,,,,0.4068554396423242,,Production application area_AI:_1
11,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,Regression,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3442622950819666,,,,,,,,,,,,0.6393442622950808,0.37295081967213045,,,,,,,,0.4068554396423242,,Number of maximum function evaluations/ trials budget_AI:_1
12,1,high,,,,,,,,,,,,>1,>43200,,,,,,,,Regression,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.3442622950819666,,,,,,,,,,,,0.4972677595628406,0.6393442622950808,,,,,,,,0.4068554396423242,,Running time per trial [s]_AI:_1
13,1,high,,,,,,,,yes,,,,1,1.0:43200,,,,,,,,Regression,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.3442622950819666,,,,,,,,0.3196721311475404,,,,0.6393442622950808,0.37295081967213045,,,,,,,,0.4068554396423242,,Number of kernels used_AI:_1
14,1,,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,,,,,,,,,,,,,0.6393442622950808,0.37295081967213045,,,,,,,,0.3442622950819666,,Total Computing Time [s]_AI:_1
15,1,high,,,,,,,,,,,,>1,>43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.3442622950819666,,,,,,,,,,,,0.4972677595628406,0.6393442622950808,,,,,,,,0.3442622950819666,,Input Data_AI:_1
16,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3442622950819666,,,,,,,,,,,,0.6393442622950808,0.37295081967213045,,,,,,,,0.3442622950819666,,#Instances training dataset_AI:_1
